Frontal eye field efferents in the macaque monkey: I. Subcortical pathways and topography of striatal and thalamic terminal fields,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902710402,https://www.academia.edu/download/50633213/Frontal_eye_field_efferents_in_the_macaq20161130-3047-mvnapc.pdf,[PDF],academia.edu
"Acetylcholinesterase histochemistry in the macaque thalamus reveals territories selectively connected to frontal, parietal and temporal association cortices",https://www.sciencedirect.com/science/article/pii/089106189500050H,not found,not found,not found
The termination of ascending tracts in the thalamus of the macaque monkey,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252781/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252781/pdf/janat00530-0016.pdf,[PDF],nih.gov
"The afferent input to the magnocellular division of the mediodorsal thalamic nucleus in the monkey, Macaca fascicularis",https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902560202,not found,not found,not found
Thalamic projections of the dorsomedial prefrontal cortex in the rhesus monkey (Macaca mulatta),https://www.sciencedirect.com/science/article/pii/0006899376902067,not found,not found,not found
Thalamic projections to sensorimotor cortex in the macaque monkey: use of multiple retrograde fluorescent tracers,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902990103,not found,not found,not found
Thalamic connections of the insula in the rhesus monkey and comments on the paralimbic connectivity of the medial pulvinar nucleus,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902270112,not found,not found,not found
Contralateral thalamic projections predominantly reach transitional cortices in the rhesus monkey,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903440403,not found,not found,not found
Independence and merger of thalamocortical channels within macaque monkey primary visual cortex: anatomy of interlaminar projections,https://www.cambridge.org/core/journals/visual-neuroscience/article/independence-and-merger-of-thalamocortical-channels-within-macaque-monkey-primary-visual-cortex-anatomy-of-interlaminar-projections/C43E2C4F18D0C32CB8C7C8595FE3D31D,not found,not found,not found
Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys,https://www.sciencedirect.com/science/article/pii/S030645220700187X,https://doc.rero.ch/record/8154/files/rouiller_tdp.pdf,[PDF],rero.ch
Thalamic connections of the cortex of the superior temporal sulcus in the rhesus monkey,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902820107,https://www.researchgate.net/profile/Edward-Yeterian/publication/20686836_Thalamocortical_connections_of_the_superior_temporal_sulcus_in_the_rhesus_monkey/links/5c3cbbbaa6fdccd6b5ac6cd6/Thalamocortical-connections-of-the-superior-temporal-sulcus-in-the-rhesus-monkey.pdf,[PDF],researchgate.net
Projections of cholinergic and non-cholinergic neurons of the brainstem core to relay and associational thalamic nuclei in the cat and macaque monkey,https://www.sciencedirect.com/science/article/pii/0306452288900061,not found,not found,not found
"Thalamic projections of the superior colliculus in the rhesus monkey, Macaca mulatta. A light and electron microscopic study",https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.901710302,not found,not found,not found
Arborisation pattern and postsynaptic targets of physiologically identified thalamocortical afferents in striate cortex of the macaque monkey,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902890211,https://www.academia.edu/download/80713701/freund1989jcompneurology.pdf,[PDF],academia.edu
Prefrontal projections to the mediodorsal nucleus of the thalamus in the rhesus monkey,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903120403,not found,not found,not found
Vision for action: thalamic and cortical inputs to the macaque superior parietal lobule,https://link.springer.com/article/10.1007/s00429-021-02377-7,https://link.springer.com/article/10.1007/s00429-021-02377-7,[HTML],springer.com
Body representation in ventrobasal thalamus of macaque: a single-unit analysis,https://journals.physiology.org/doi/pdf/10.1152/jn.1977.40.6.1339,not found,not found,not found
Changes in the number of astrocytes and microglia in the thalamus of the monkey Macaca fascicularis following long-term subclinical methylmercury exposure.,https://europepmc.org/article/med/8784824,not found,not found,not found
Thalamocortical connections of parietal somatosensory cortical fields in macaque monkeys are highly divergent and convergent,https://academic.oup.com/cercor/article-abstract/19/9/2038/279997,https://academic.oup.com/cercor/article/19/9/2038/279997,[HTML],oup.com
Midline and intralaminar thalamic connections with the orbital and medial prefrontal networks in macaque monkeys,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.21440,not found,not found,not found
"Projections from the entorhinal cortex, perirhinal cortex, presubiculum, and parasubiculum to the medial thalamus in macaque monkeys: identifying different pathways …",https://link.springer.com/article/10.1007/s00221-005-2361-3,https://www.academia.edu/download/72108252/s00221-005-2361-320211010-2965-snna3p.pdf,[PDF],academia.edu
Data-driven multiscale model of macaque auditory thalamocortical circuits reproduces in vivo dynamics,https://www.biorxiv.org/content/10.1101/2022.02.03.479036.abstract,https://www.biorxiv.org/content/biorxiv/early/2022/04/29/2022.02.03.479036.full.pdf,[PDF],biorxiv.org
Retrograde analyses of spinothalamic projections in the macaque monkey: input to posterolateral thalamus,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.21155,not found,not found,not found
The thalamic afferents to the inferior parietal lobule of the rhesus monkey,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.901770409,not found,not found,not found
Distribution of the noradrenaline innervation and adrenoceptors in the macaque monkey thalamus,https://academic.oup.com/cercor/article-abstract/31/9/4115/6276648,https://academic.oup.com/cercor/article/31/9/4115/6276648,[HTML],oup.com
Complementary subicular pathways to the anterior thalamic nuclei and mammillary bodies in the rat and macaque monkey brain,https://onlinelibrary.wiley.com/doi/abs/10.1111/ejn.13208,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ejn.13208,[PDF],wiley.com
Afferents to prefrontal cortex from the thalamic mediodorsal nucleus in the rhesus monkey,https://www.sciencedirect.com/science/article/pii/0006899375909300,not found,not found,not found
