Source,1,10,2,24c,25,3,32,45A,46d,5,7A,7B,7m,8B,8l,8m,9,9-46d,9-46v,DP,F1,F2,F3,F4,F5,F7,LIP,MT,OPRO,PBr,ProM,STPc,STPi,STPr,TEO,TEpd,V1,V2,V4,V6
1,0.0,0.0,0.009537612791622,2.76916260522818e-05,0.0,0.000103485744839,0.0,0.0,0.0,0.002510906751201,0.0,0.0,0.000154833330852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001215490754392,0.0,3.84529604934284e-05,2.40419291243929e-05,0.002398803465363,1.12838798492474e-05,0.0,3.02626342715254e-06,0.0,0.0,2.2093466409646e-05,0.0,0.0,0.0,2.61176731764967e-05,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.000152303943288,0.08320799320411,0.0,0.09119737874086,0.003618506073921,0.076505749434259,0.0,0.0,0.0,0.0,0.13191563332947,0.000530790980636,0.002087631994174,0.075425335861756,0.007885939265454,0.000236524588462,0.0,0.0,0.0,6.66517981886092e-05,0.0,9.07913662189219e-05,0.001489472140101,0.0,0.0,0.0,0.008869406808608,0.0,0.001448493282967,0.023260887632979,0.032919388375205,0.0,0.0,0.0,0.0,0.0,0.0
2,0.164652952080975,0.0,0.0,0.002243021710235,2.97543333467228e-06,0.289742837924076,0.0,0.0,1.67317111939331e-05,0.036345375223628,1.82776929895909e-05,0.003075495459667,1.19102562193869e-05,0.0,0.000204150377168,4.85495812598616e-05,0.0,4.65934373143543e-05,0.001782587752065,0.0,0.125465656758916,0.0,0.000138430657776,0.000977705117725,0.198704072709549,0.0,0.0,2.42101074172203e-05,0.009284068904926,0.0,0.027517412413214,7.10045726944815e-05,0.0,0.0,3.91765097647451e-05,0.0,0.0,0.0,0.0,2.58779749967006e-06
24c,0.000147645061273,0.0064307332124412505,0.000245453270373,0.0,0.025216797511348,0.000293209610376,0.05766698646314,0.002067717756526,0.003095366570878,0.0,0.0,3.9769337840525e-05,0.001649570486385,0.09366863676749,0.002429389488297,0.002366792086418,0.155711653000721,0.003036338998319,0.00659961290732,2.76673280475562e-05,0.004321744904505,0.031242069152614,0.086816530671363,0.01266208267218,0.008281128297757,0.093543363950261,0.0,0.0,0.00384650689093,0.000111009905499,0.002463421504676,1.42009145388963e-05,0.000135056515957,0.000272511493172,0.0,0.0,0.0,0.0,0.0,9.1866811238287e-05
25,0.0,0.01699324952028,0.0,0.0,0.0,0.0,0.14215042582955,0.0,0.0,0.0,0.0,0.0,2.38205124387738e-05,0.000154517711593,5.10375942919555e-05,0.0,0.00148900937475,0.0,0.0,0.0,0.0,0.0,1.53811841973714e-05,0.0,4.77849295889063e-06,0.0,0.0,0.0,0.009161680049305,0.001027553227826,0.0,0.0,0.002618018617021,0.006987194684936,0.0,0.0,0.0,0.0,0.0,2.58779749967006e-06
3,0.327296290827961,0.0,0.245803917901725,0.000526140894993,0.0,0.0,0.0,0.0,2.92804945893829e-05,0.032076833746587,0.0,0.0,2.97756405484673e-05,0.0,0.000244980452601,2.42747906299308e-05,0.0,0.0,3.46133544090202e-05,0.0,0.009926507827535,0.005810849836789,0.000422982565428,0.001690949015082,0.010015721241835,0.000124122678342,0.000103825987645,0.0,0.007924678401427,0.0,0.000110467332048,0.0,0.0,0.0,0.000124058947588,5.01104936384728e-06,0.0,0.0,0.0,7.76339249901017e-06
32,0.0,0.04200870506128025,0.0,0.00193841382366,0.278113753791818,0.0,0.0,1.43591510869877e-05,0.001606244274618,0.0,0.0,0.0,3.57307686581608e-05,0.033978444779233,0.000102075188584,0.000291297487559,0.075131540290056,3.10622915429028e-05,8.94178322233023e-05,0.0,0.0,0.0,0.000169193026171,8.01397637479765e-06,3.8227943671125e-05,0.000259529236533,0.0,3.02626342715254e-06,0.003190852307248,0.002650005692816,0.0,0.0,0.000332446808511,0.001615993154511,0.0,0.0,0.0,0.0,0.0,2.58779749967006e-06
45A,0.0,0.004272475954171304,0.0,0.0,5.05823666894287e-05,1.72476241397747e-05,3.21583046141807e-05,0.0,0.00148912229626,0.0,0.001361688127725,0.0,0.0,0.000278131880867,0.012453173007237,0.025949751183396,0.008279693384258,0.020050709190944,0.059431129520288,1.58099017414607e-05,0.0,0.0,0.00029224249975,0.000136237598372,2.86709577533438e-05,0.034348130261109,0.000674868919691,3.02626342715254e-06,0.000655654583681,0.000375725833997,0.0,2.84018290777926e-05,0.000374002659574,0.002180091945378,1.95882548823725e-05,0.000942077280403,0.0,0.0,0.0,2.58779749967006e-06
46d,0.0,0.18682444929695075,1.16882509701248e-05,0.000484603455915,0.006519174436267,6.8990496559099e-05,0.002140313829322,0.044556445822923,0.0,0.00018831800634,0.014814070168063,0.0,0.004293647367089,0.039942828446711,0.038962099482479,0.110717320063114,0.011110814347907,0.195731264584717,0.037324733837727,0.000750970332719,0.0,0.0,0.000420419034728,2.40419291243929e-05,9.55698591778125e-05,0.00090271038794,0.010901728702694,0.0,8.74206111574926e-06,0.004195605146305,1.1046733204823e-05,0.007171461842143,0.003501080452128,0.010093825707099,1.30588365882484e-05,1.50331480915419e-05,0.0,0.0,0.0,8.66912162389469e-05
5,0.191302885640698,0.0,0.0,0.025573216659282,0.0,0.000103485744839,0.0,1.43591510869877e-05,0.0,0.0,0.010025314604791,0.021793597136608,0.007110422962974,0.0,6.12451131503466e-05,8.49617672047579e-05,0.0,0.000970696610716,6.92267088180405e-05,0.0,0.108977749766468,0.018762744051318,0.001048484056121,0.000965684153163,9.55698591778125e-05,4.51355193969895e-05,0.000103825987645,0.0,0.0,0.0,0.0,2.84018290777926e-05,0.0,0.0,2.61176731764967e-05,0.0,0.0,0.0,0.0,0.004011086124489
