10.7759/cureus.35772,37025746,PMC10071339,Medial Pulvinar Stimulation in Temporal Lobe Epilepsy: A Literature Review and a Hypothesis Based on Neuroanatomical Findings.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10071339/,PMC,,
10.7554/elife.60824,33904411,PMC8079153,Neural effects of propofol-induced unconsciousness and its reversal using thalamic stimulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8079153/,PMC,,
10.3390/ijms24043207,36834621,PMC9965431,Thyroid Hormone Transporters MCT8 and OATP1C1 Are Expressed in Pyramidal Neurons and Interneurons in the Adult Motor Cortex of Human and Macaque Brain.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9965431/,PMC,,
10.3389/fnins.2023.1138602,36922925,PMC10008888,LFP polarity changes across cortical and eccentricity in primary visual cortex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10008888/,PMC,,
10.1002/cne.25193,34013540,PMC8556184,A causal role for the pulvinar in coordinating task-independent cortico-cortical interactions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8556184/,PMC,,
10.1016/j.crneur.2023.100086,37397806,PMC10313870,Advances in AAV technology for delivering genetically encoded cargo to the nonhuman primate nervous system.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10313870/,PMC,,
10.1093/cercor/bhab073,34003210,PMC8328208,Distribution of the Noradrenaline Innervation and Adrenoceptors in the Macaque Monkey Thalamus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8328208/,PMC,,
10.1093/cercor/bhad159,37143181,PMC10321099,"Retrospective: Patricia S. Goldman-Rakic, pioneer in neuroscience and co-founder of the journal, Cerebral Cortex.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10321099/,PMC,,
10.1016/j.neuron.2021.03.009,33789082,PMC8111422,Optimal anticipatory control as a theory of motor preparation: A thalamo-cortical circuit model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8111422/,PMC,,
10.1371/journal.pcbi.1010294,35816488,PMC9321468,Thalamic deep brain stimulation paradigm to reduce consciousness: Cortico-striatal dynamics implicated in mechanisms of consciousness.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9321468/,PMC,,
10.1093/cercor/bhad036,36813296,,Functional imaging and anatomical connections in squirrel monkeys reveal parietal-frontal circuits underlying eye movements.,https://academic.oup.com/cercor/article-lookup/doi/10.1093/cercor/bhad036,Silverchair Information Systems,,
10.1073/pnas.2119868119,35412910,PMC9169786,Rhesus monkeys have an interoceptive sense of their beating hearts.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9169786/,PMC,,
10.1007/s00429-021-02284-x,33934235,PMC8203542,Auditory thalamus dysfunction and pathophysiology in tinnitus: a predictive network hypothesis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8203542/,PMC,,
10.1177/17562864231160873,37006459,PMC10064471,Locked-in syndrome revisited.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10064471/,PMC,,
