INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
3032	0.0	0.0	0.0	20.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	11.0	1.0	5.0	0.0	16.0	0.0	0.0	0.0	15.0	48.63315517586616	36.403485976923704	45.54302991890441
3033	10.0	0.0	0.0	13.0	8.0	0.0	0.0	13.0	4.0	0.0	0.0	5.0	7.0	0.0	0.0	5.0	53.0	26.0	7.0	135.0	163.0	5.0	13.0	140.0	74.55093555889368	53.367978871161	246.87964840471605
3034	0.0	0.0	0.0	23.0	0.0	2.0	6.0	17.0	0.0	0.0	0.0	17.0	0.0	1.0	3.0	15.0	33.0	22.0	1.0	109.0	3.0	35.0	53.0	156.0	87.6637443568756	70.49254841255836	237.09902005333205
3035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	15.890269151739728	27.0805020110221
3036	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	13.0	2.0	0.0	0.0	1.0	11.0	3.0	0.0	63.0	19.0	0.0	3.0	17.0	40.07333185232471	46.33549352897396	106.95877237768661
3037	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	5.0	13.0	0.0	27.0	20.0	0.0	2.0	28.0	19.56011502714073	14.451858789480825	89.00673936003265
3038	6.0	0.0	0.0	24.0	13.0	2.0	2.0	8.0	2.0	0.0	0.0	14.0	7.0	1.0	1.0	8.0	44.0	8.0	1.0	156.0	90.0	28.0	39.0	101.0	108.78763793403584	80.24437090958185	251.47718605038693
3039	0.0	0.0	0.0	8.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	13.0	0.0	0.0	0.0	35.51249677887325	30.34212794122055	30.457163561293207
3040	0.0	0.0	0.0	6.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	16.0	2.0	19.0	0.0	47.0	1.0	0.0	11.0	170.0	33.62516821083421	28.874151483502192	97.72978863184507
3041	0.0	0.0	6.0	7.0	17.0	0.0	2.0	4.0																	102.92734038151362	0.0	0.0
3042	5.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.23963979403259	0.0	0.0
3043	0.0	0.0	0.0	12.0	4.0	0.0	0.0	2.0	1.0	0.0	0.0	9.0	2.0	0.0	0.0	1.0	33.0	25.0	5.0	185.0	97.0	0.0	8.0	57.0	39.189744580126415	38.91612008168019	190.99816385739922
