INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
8160	4.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	Y		3.0972026955523364
8933	0.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	Y	Y	3.0931043119502477
5144	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	Y		3.0931043119502477
2344	0.0	5.0	0.0	0.0	5.0	0.0	0.0	8.0	Y	Y	3.0931043119502477
5907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	Y		3.091042453358316
6357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	Y		3.091042453358316
5416	0.0	2.0	0.0	0.0	0.0	0.0	0.0	21.0	Y	Y	3.091042453358316
5180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	Y		3.091042453358316
10436	0.0	6.0	0.0	0.0	0.0	21.0	0.0	0.0		Y	3.091042453358316
7332	2.0	0.0	0.0	0.0	9.0	0.0	0.0	3.0	Y		3.086893051950969
8053	0.0	6.0	0.0	0.0	12.0	0.0	0.0	5.0		Y	3.0742341479588235
7424	0.0	3.0	0.0	0.0	28.0	3.0	0.0	0.0		Y	3.069942276113128
8076	4.0	22.0	0.0	0.0	9.0	0.0	0.0	2.0	Y		3.054623791382183
7933	2.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	Y		3.0546237913821828
8938	0.0	8.0	0.0	0.0	17.0	0.0	0.0	4.0		Y	3.0546237913821828
2385	0.0	0.0	0.0	0.0	17.0	0.0	0.0	4.0	Y		3.0546237913821828
9008	0.0	2.0	0.0	0.0	17.0	0.0	0.0	4.0		Y	3.0546237913821828
4907	3.0	13.0	0.0	0.0	6.0	0.0	0.0	3.0	Y		3.052396616207493
9590	0.0	3.0	0.0	0.0	27.0	0.0	0.0	3.0	Y		3.052396616207493
5490	0.0	13.0	0.0	0.0	27.0	0.0	0.0	3.0	Y	Y	3.052396616207493
