INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK
204	2	7	2	24	0	0	2	3
205	3	2	0	35	0	0	0	29
206	9	2	0	2	0	3	6	31
207	0	11	5	21	14	0	0	4
208	NA	NA	NA	NA	NA	NA	NA	NA
209	5	0	0	15	0	0	2	21
210	3	0	0	28	0	6	21	20
211	9	0	8	8	7	0	0	11
212	3	0	0	33	5	0	0	0
213	3	23	0	17	3	0	10	0
214	0	2	0	32	6	0	0	7
215	3	0	0	33	0	0	0	2
216	6	0	0	27	3	0	0	23
217	4	3	0	1	0	0	0	17
218	2	0	4	38	14	4	3	13
219	6	6	0	10	0	0	1	0
220	0	0	4	27	12	0	2	21
221	3	0	0	3	20	0	0	18
222	5	0	1	6	14	7	14	12
223	4	0	0	38	0	0	20	13
224	9	0	0	6	15	0	0	0
225	0	0	2	36	19	0	0	8
226	2	0	0	1	2	5	24	12
