INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	NOT_TT	NOT_MACAQUE_BUT_OTHERS
8034	0.0	0.0	0.0	0.0	7.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	11.0	53.0	0.0	15.0	193.0	0.0	0.0	59.0	Y	
8035	0.0	0.0	0.0	0.0	28.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	3.0	16.0	2.0	1.0	3.0	122.0	3.0	2.0	48.0		
8036	2.0	11.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	8.0	0.0	1.0	1.0	0.0	2.0	0.0	19.0	135.0	0.0	2.0	1.0	2.0	53.0	27.0		
8037	0.0	0.0	0.0	0.0	21.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	7.0	2.0	0.0	5.0	4.0	24.0	12.0	26.0	124.0	15.0	1.0	118.0		
8038	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	119.0	0.0	7.0	58.0	0.0	2.0	13.0	Y	Y
8039	0.0	6.0	0.0	5.0	0.0	6.0	0.0	4.0	0.0	4.0	1.0	4.0	0.0	3.0	0.0	2.0	1.0	97.0	1.0	68.0	1.0	27.0	9.0	25.0		Y
8040	2.0	0.0	0.0	0.0	18.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0	7.0	16.0	7.0	0.0	4.0	92.0	0.0	1.0	32.0	Y	
8041	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	6.0	7.0	1.0	14.0	87.0	0.0	2.0	55.0	Y	
8042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	177.0	1.0	38.0	193.0	8.0	18.0	144.0		
8043	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	18.0	67.0	0.0	2.0	30.0	1.0	13.0	0.0		
8044	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	2.0	28.0	0.0	5.0	9.0	Y	Y
8045	0.0	10.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	8.0	0.0	0.0	1.0	15.0	32.0	2.0	17.0	75.0	0.0	2.0	29.0	Y	
8046	5.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	11.0	0.0	0.0	2.0	33.0	23.0	4.0	24.0	104.0	0.0	1.0	21.0	Y	
8047	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	34.0	0.0	11.0	22.0	1.0	98.0	15.0		Y
8048	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	24.0	0.0	8.0	32.0	0.0	1.0	33.0	Y	Y
8049	2.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	1.0	0.0	1.0	4.0	0.0	0.0	4.0	6.0	3.0	2.0	13.0	12.0	0.0	0.0	18.0	Y	
8050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	64.0	0.0	2.0	4.0	11.0	10.0	78.0		
8051	0.0	3.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	1.0	28.0	17.0	0.0	13.0	185.0	5.0	9.0	68.0		
8052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	10.0	7.0	0.0	0.0	13.0		
8053	0.0	6.0	0.0	0.0	12.0	0.0	0.0	5.0	0.0	5.0	0.0	2.0	5.0	0.0	0.0	2.0	36.0	70.0	0.0	43.0	271.0	2.0	29.0	184.0		Y
8054	0.0	0.0	0.0	3.0	7.0	0.0	0.0	18.0	0.0	0.0	0.0	4.0	10.0	0.0	0.0	18.0	87.0	95.0	0.0	28.0	331.0	0.0	6.0	427.0	Y	
8055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	105.0	1.0	5.0	4.0	0.0	0.0	5.0	Y	
8056	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	1.0	14.0	25.0	2.0	20.0	277.0	1.0	4.0	116.0		
8057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	2.0	0.0	3.0	27.0	945.0	6.0	203.0	506.0	85.0	76.0	661.0		
8058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	16.0	34.0	0.0	3.0	3.0	6.0	1.0	74.0		
8059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	18.0	0.0	1.0	11.0	0.0	6.0	6.0		
8060	0.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	20.0	1.0	31.0	42.0	0.0	1.0	23.0	Y	
8061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	10.0	1.0	11.0	0.0	5.0	30.0	0.0	0.0	101.0	Y	
8062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	15.0	5.0	3.0	0.0	2.0	20.0	0.0	4.0	37.0	Y	
8063	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	3.0	1.0	16.0	1.0	5.0	71.0	0.0	1.0	72.0	Y	
8064	0.0	2.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	3.0	1.0	23.0	2.0	6.0	8.0	59.0	106.0	101.0		Y
8065	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	1.0	0.0	0.0	1.0	6.0	44.0	0.0	5.0	5.0	0.0	1.0	19.0	Y	
8066	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	67.0	0.0	3.0	7.0	0.0	16.0	1.0	Y	
8067	0.0	0.0	0.0	3.0	8.0	0.0	0.0	8.0	0.0	1.0	0.0	5.0	7.0	0.0	0.0	8.0	1.0	43.0	0.0	6.0	97.0	0.0	0.0	67.0	Y	
8068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	201.0	1.0	15.0	61.0	36.0	13.0	93.0		
8069	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	174.0	0.0	7.0	14.0	0.0	76.0	11.0	Y	
8070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	21.0	1939.0	5.0	152.0	346.0	152.0	304.0	720.0		
8071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	5.0	87.0	0.0	6.0	3.0	1.0	6.0	6.0		
8072	0.0	14.0	0.0	0.0	5.0	0.0	0.0	5.0	1.0	12.0	0.0	0.0	4.0	0.0	1.0	1.0	10.0	195.0	0.0	21.0	201.0	0.0	6.0	51.0	Y	Y
8073	0.0	15.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	13.0	0.0	0.0	0.0	21.0	47.0	1.0	26.0	119.0	2.0	5.0	18.0		
8074	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	32.0	3.0	4.0	45.0	0.0	0.0	14.0	Y	
8075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	12.0	3.0	27.0	1.0	2.0	89.0	0.0	1.0	75.0	Y	
8076	4.0	20.0	0.0	0.0	9.0	0.0	0.0	2.0	2.0	9.0	0.0	4.0	5.0	0.0	0.0	1.0	17.0	136.0	0.0	39.0	109.0	0.0	3.0	27.0	Y	
8077	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0	118.0	0.0	4.0	7.0	23.0	7.0	1.0		
8078	0.0	21.0	0.0	7.0	1.0	0.0	8.0	0.0	0.0	17.0	0.0	5.0	1.0	0.0	4.0	0.0	1.0	157.0	0.0	23.0	15.0	0.0	19.0	1.0	Y	Y
8079	0.0	2.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	7.0	7.0	53.0	1.0	43.0	3.0	6.0	16.0	168.0		
