INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
75	2.0	0.0	0.0	28.0	8.0	0.0	0.0	4.0			116.7559592040245
76	4.0	0.0	9.0	33.0	5.0	2.0	6.0	15.0			265.16906608838525
77	8.0	0.0	0.0	18.0	20.0	0.0	8.0	17.0			161.68179579346415
78	4.0	0.0	0.0	21.0	0.0	6.0	4.0	17.0			157.8276386521547
79	4.0	0.0	2.0	9.0	8.0	0.0	2.0	18.0			166.4660054421132
80	8.0	4.0	0.0	34.0	0.0	2.0	8.0	11.0			168.66338246852087
81	6.0	0.0	5.0	21.0	17.0	0.0	6.0	3.0			216.17944548486608
82	3.0	0.0	5.0	28.0	19.0	3.0	6.0	16.0			249.14663697974422
83	6.0	0.0	0.0	17.0	2.0	14.0	31.0	15.0			194.27433391143703
84									Y		0.0
85	7.0	0.0	0.0	8.0	2.0	0.0	7.0	10.0			125.99145943832646
86	2.0	0.0	0.0	12.0	7.0	0.0	2.0	11.0			121.34225391617979
87	4.0	0.0	0.0	18.0	11.0	0.0	4.0	16.0			146.55639941734518
88	6.0	0.0	0.0	14.0	10.0	6.0	14.0	6.0			168.95923813446308
89	4.0	0.0	6.0	28.0	0.0	4.0	38.0	11.0			265.96286158821056
90	2.0	0.0	2.0	16.0	9.0	2.0	6.0	17.0			200.859304757913
91	9.0	0.0	0.0	31.0	5.0	6.0	9.0	21.0			192.02342280015066
92	2.0	0.0	2.0	19.0	14.0	4.0	20.0	21.0			230.54375105820125
93	3.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	Y		9.434416084226147
94	0.0	0.0	0.0	15.0	0.0	0.0	0.0	3.0			83.17766166719343
95	4.0	0.0	2.0	20.0	6.0	6.0	6.0	18.0			215.92643631530424
