6						https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=086111ccf8db5585f16a54ba754ea75ebac97d6c	citeseerx.ist.psu.edu	Connexions of the somatic sensory cortex of the rhesus monkey: III.—thalamic connexions		
36		17104630.0	PMC1252781	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252781/	www.ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252781/pdf/janat00530-0016.pdf	www.ncbi.nlm.nih.gov	The Termination of Ascending Tracts in the Thalamus of the Macaque Monkey		
51						https://journals.physiology.org/doi/pdf/10.1152/jn.1977.40.6.1339	journals.physiology.org	Body representation in ventrobasal thalamus of macaque: a single-unit analysis		
84						https://journals.physiology.org/doi/pdf/10.1152/jn.1944.7.3.171	journals.physiology.org	EXPERIMENTAL HYPOGEUSIA FROM HORSLEY-CLARKE LESIONS OF THE THALAMUS IN MACACA MULATTA		
104		21434138.0	PMC2601459	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2601459/	www.ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2601459/pdf/yjbm00498-0072.pdf	www.ncbi.nlm.nih.gov	Localization of Taste in the Thalamus of Macaca mulatta *		
119						https://www.hifo.uzh.ch/dam/jcr:00000000-2999-c151-ffff-ffffd9509b89/paper_CorticalArea8.pdf	www.hifo.uzh.ch	Cortical area 8 and its thalamic projection in Macaca mulatta		
170	10.1152/jn.1949.12.2.85	18114363.0		https://journals.physiology.org/doi/10.1152/jn.1949.12.2.85	journals.physiology.org	https://journals.physiology.org/doi/epdf/10.1152/jn.1949.12.2.85	journals.physiology.org	PATTERN OF TACTILE REPRESENTATION IN THALAMUS OF CAT		
174						https://www.cell.com/neuron/pdf/S0896-6273(11)00557-5.pdf	www.cell.com	Cognitive and perceptual functions of the visual thalamus		
177						https://www.cell.com/neuron/pdf/S0896-6273(09)00170-6.pdf	www.cell.com	Parallel processing in the corticogeniculate pathway of the macaque monkey		
188		17104607.0	PMC1249139	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1249139/	www.ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1249139/pdf/janat00537-0003.pdf	www.ncbi.nlm.nih.gov	The Thalamic Connections of the Temporal Lobe of the Brain in the Monkey		
200						https://www.cell.com/neuron/pdf/S0896-6273(02)00718-3.pdf	www.cell.com	Magnetic resonance imaging of neuronal connections in the macaque monkey		
208						https://www.cell.com/neuron/pdf/S0896-6273(07)00768-4.pdf	www.cell.com	Gain modulation by nicotine in macaque v1		
254	10.3389/fnsys.2015.00039	25852498.0	PMC4362213	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362213/	www.ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362213/pdf/fnsys-09-00039.pdf	www.ncbi.nlm.nih.gov	The cognitive thalamus		mediodorsal thalamus; anterior thalamus; intralaminar thalamus; thalamocortical interactions; pulvinar
256	10.1016/0006-8993(75)90079-7	1111842.0		https://linkinghub.elsevier.com/retrieve/pii/0006899375900797	linkinghub.elsevier.com	://linkinghub.elsevier.com/	linkinghub.elsevier.com	Subcortical afferents to the frontal lobe in the rhesus monkey studied by means of retrograde horseradish peroxidase transport		
260						https://journals.physiology.org/doi/pdf/10.1152/jn.1953.16.5.499	journals.physiology.org	Cortical organization in gustation (Macaca mulatta)		
263						https://journals.physiology.org/doi/pdf/10.1152/jn.1981.45.1.59	journals.physiology.org	Thalamic input to areas 3a and 2 in monkeys.		
293						https://journals.physiology.org/doi/pdf/10.1152/jn.1974.37.1.119	journals.physiology.org	Differential contributions of spinal pathways to body representation in postcentral gyrus of Macaca mulatta.		
297						https://journals.physiology.org/doi/pdf/10.1152/jn.1938.1.2.176	journals.physiology.org	The direct functional interrelation of sensory cortex and optic thalamus		
310	10.1016/0165-0173(79)90008-0	394815.0		https://linkinghub.elsevier.com/retrieve/pii/0165017379900080	linkinghub.elsevier.com	://linkinghub.elsevier.com/	linkinghub.elsevier.com	Thalamocortical synaptic relations: A review with emphasis on the projections of specific thalamic nuclei to the primary sensory areas of the neocortex		thalamocortex; synapse; neocortex; somatosensory cortex; electron microscopy;
327						https://www.annualreviews.org/doi/pdf/10.1146/annurev.ne.11.030188.001345	www.annualreviews.org	Anatomical organization of macaque monkey striate visual cortex		
350						http://zsp.com.pk/pdf48/575-581%20(38)%20QPJZ-0063-2015%2017-12-15%20Longitudinal%20Metabolic%20Changes%20in%20the%20Thalamus%20o_.pdf	zsp.com.pk	Longitudinal Metabolic Changes in the Thalamus of Macaque Brain During 42-Day Head Down Tilt.		
354				https://neuro.psychiatryonline.org/doi/full/10.1176/jnp.16.2.127	neuro.psychiatryonline.org	https://neuro.psychiatryonline.org/doi/reader/10.1176/jnp.16.2.127	neuro.psychiatryonline.org	The Limbic Thalamus		
363						https://www.cell.com/neuron/pdf/S0896-6273(01)00582-7.pdf	www.cell.com	Thalamic relay functions and their role in corticocortical communication: generalizations from the visual system		
377						https://link.springer.com/content/pdf/10.1007/978-3-030-23810-0_24.pdf	link.springer.com	Cerebellar thalamic and thalamocortical projections		
379						https://thejns.org/downloadpdf/journals/j-neurosurg/50/3/article-p290.pdf	thejns.org	Physiological study of presumed ventralis intermedius neurons in the human thalamus		
391						https://deepblue.lib.umich.edu/bitstream/handle/2027.42/74092/annals.1300.030.pdf?sequence=1	deepblue.lib.umich.edu	Expression of ARHGEF11 mRNA in schizophrenic thalamus		
