INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX
10398	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	16.0	0.0	12.0	14.0	1.0	0.0	4.0	-10.986122886681098
10399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	5.0	1.0	8.0	2.0	11.0	29.0	0.0	0.0	69.0	0.0
10400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	777.0	0.0	39.0	42.0	14.0	63.0	112.0	0.0
10401	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	10.0	2.0	0.0	6.0	152.0	0.0	10.0	17.0	17.16993602242573
10402	0.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	34.0	0.0	33.0	24.0	0.0	18.0	37.0	-4.054651081081645
10403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	417.0	0.0	23.0	206.0	30.0	43.0	203.0	0.0
10404	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	22.0	16.0	0.0	6.0	0.0	4.0	2.0	1.0	41.43134726391533
10405	2.0	1.0	0.0	0.0	9.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	5.0	0.0	1.0	2.0	13.0	28.0	1.0	3.0	67.0	3.0	10.0	51.0	41.0055582222138
10406	0.0	2.0	0.0	3.0	3.0	5.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	4.0	0.0	0.0	2.0	27.0	0.0	12.0	25.0	21.0	7.0	17.0	56.04068962307754
10407	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	5.0	0.0	2.0	2.0	2.0	21.0	5.0	12.0	153.0	0.0	3.0	23.0	20.79441541679836
10408	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	13.0	0.0	5.0	7.0	8.958797346140274
10409	0.0	0.0	0.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	43.0	0.0	0.0	4.0	42.44808211823001
10410	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	51.0	0.0	4.0	1.0	1.0	7.0	3.0	-1.438410362258904
10411	0.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	63.0	1.0	40.0	40.0	2.0	39.0	75.0	0.0
10412	0.0	35.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	19.0	2.0	0.0	1.0	8.0	1.0	14.0	0.0	111.0	3.0	0.0	13.0	26.0	67.61572768804056
10413	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	15.0	0.0	1.0	40.0	0.0	7.0	3.0	12.424533248940001
10414	0.0	0.0	0.0	0.0	15.0	2.0	2.0	6.0	1.0	2.0	0.0	0.0	13.0	1.0	1.0	5.0	7.0	45.0	0.0	4.0	292.0	28.0	26.0	88.0	56.55086301651876
10415	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0	4.0	1.0	4.0	15.0	1.0	9.0	118.0	0.0	35.0	7.0	18.44439727056968
