INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
9534	0.0	2.0	0.0	2.0	0.0	0.0	6.0	12.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	12.0	2.0	31.0	0.0	22.0	1.0	10.0	48.0	94.0	41.07274658720569	32.23286784298615	148.52082203824926
4007	5.0	1.0	0.0	0.0	4.0	0.0	0.0	26.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	14.0	61.0	54.0	3.0	33.0	150.0	0.0	0.0	290.0	41.057674223352805	30.86893051950968	156.63065727407692
7106	0.0	3.0	0.0	9.0	0.0	0.0	3.0	3.0	0.0	1.0	0.0	5.0	0.0	0.0	1.0	1.0	7.0	125.0	0.0	114.0	5.0	10.0	18.0	39.0	41.04767762449904	26.92850803955984	163.37666275086968
3408	6.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	2.0	0.0	2.0	2.0	33.0	26.0	2.0	46.0	47.0	5.0	43.0	24.0	41.046542058234685	57.52572638825633	203.76618465058044
1277	4.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	3.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	28.0	14.0	0.0	22.0	13.0	0.0	0.0	2.0	41.046542058234685	28.99439854786132	78.30014814836866
4639	0.0	7.0	0.0	3.0	24.0	0.0	0.0	20.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	10.0	42.0	115.0	0.0	30.0	442.0	0.0	2.0	547.0	41.02105184079736	20.729813106722304	135.4300409912212
1929	0.0	0.0	0.0	2.0	14.0	0.0	0.0	26.0	0.0	0.0	0.0	2.0	12.0	0.0	0.0	17.0	21.0	23.0	0.0	83.0	153.0	59.0	298.0	247.0	41.00555822221379	38.26272846346961	260.50571858256234
8268	2.0	0.0	0.0	0.0	4.0	0.0	2.0	8.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	5.0	2.0	40.0	0.0	7.0	13.0	2.0	3.0	67.0	41.00555822221379	33.859979845159295	94.48140872858878
2166	2.0	10.0	0.0	1.0	2.0	0.0	1.0	21.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0	65.0	1.0	77.0	35.0	1.0	9.0	170.0	41.00154966241539	15.197121971179785	144.017288199456
4231	15.0	4.0	0.0	2.0	2.0	0.0	0.0	0.0	8.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	74.0	5.0	0.0	47.0	88.0	0.0	1.0	6.0	40.98619572755126	29.596864759521598	117.40757670552264
3935	0.0	2.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	2.0	22.0	0.0	12.0	4.0	30.0	17.0	3.0	40.97765655802689	30.983159120641485	142.92675106587268
1432	0.0	9.0	0.0	5.0	13.0	0.0	0.0	17.0	0.0	5.0	0.0	3.0	7.0	0.0	0.0	9.0	10.0	21.0	0.0	37.0	60.0	1.0	3.0	108.0	40.95956994384957	32.18955784611221	125.909725372941
2838	4.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	7.0	0.0	0.0	0.0	1.0	6.0	9.0	0.0	18.0	0.0	0.0	0.0	4.0	40.943445622221006	32.4736854840394	52.345510658399945
2888	0.0	0.0	0.0	19.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	7.0	4.0	21.0	1.0	265.0	5.0	1.0	8.0	169.0	40.943445622221006	38.123094930797	153.54891573539263
2814	4.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	11.0	1.0	0.0	1.0	0.0	11.0	8.0	0.0	43.0	15.0	0.0	1.0	1.0	40.943445622221006	44.84610273184039	82.55666500198825
850	0.0	0.0	0.0	4.0	8.0	0.0	3.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	1.0	0.0	12.0	17.0	3.0	64.0	68.0	0.0	4.0	25.0	40.943445622221006	24.578489893331163	149.82537612321138
2707	5.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	4.0	3.0	0.0	6.0	0.0	0.0	1.0	2.0	25.0	43.0	2.0	189.0	1.0	0.0	33.0	32.0	40.943445622221	45.205425141594354	161.16001300697965
1223	1.0	8.0	0.0	11.0	2.0	0.0	0.0	4.0	0.0	5.0	0.0	5.0	3.0	0.0	0.0	9.0	3.0	80.0	0.0	58.0	35.0	6.0	3.0	72.0	40.92634015431807	32.778473024394124	138.0004582312389
1831	0.0	0.0	0.0	7.0	7.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	4.0	2.0	27.0	2.0	70.0	46.0	3.0	5.0	41.0	40.92117387047411	36.88879454113936	157.99638786809209
6205	7.0	0.0	0.0	0.0	6.0	0.0	0.0	7.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	16.0	1.0	2.0	15.0	33.0	0.0	2.0	49.0	40.92117387047411	29.753212762938634	130.31507405544548
